Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
PGP	hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	phosphoglycolate	phosphoglycolate phosphatase
PGS1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phosphatidylglycerophosphate	phosphatidylglycerophosphate synthase 1
PHGDH	hsa00260 / hsa00270	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	phosphoglycerate	phosphoglycerate dehydrogenase
PHOSPHO1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phosphoethanolamine/phosphocholine	phosphoethanolamine/phosphocholine phosphatase 1
PHOSPHO2	hsa00750	Metabolism of cofactors and vitamins	Vitamin B6 metabolism - Homo sapiens (human)	phosphatase,	phosphatase, orphan 2
PHYKPL	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	5-phosphohydroxy-L-lysine	5-phosphohydroxy-L-lysine phospho-lyase
PI4K2A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol	phosphatidylinositol 4-kinase type 2 alpha
PI4K2B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol	phosphatidylinositol 4-kinase type 2 beta
PI4KA	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol	phosphatidylinositol 4-kinase alpha
PI4KB	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol	phosphatidylinositol 4-kinase beta
PIK3C2A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
PIK3C2B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
PIK3C2G	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
PIK3C3	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol	phosphatidylinositol 3-kinase catalytic subunit type 3
PIK3CA	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4,5-bisphosphate	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
PIK3CB	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4,5-bisphosphate	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
PIK3CD	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4,5-bisphosphate	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
PIK3CG	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4,5-bisphosphate	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
PIKFYVE	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphoinositide	phosphoinositide kinase, FYVE-type zinc finger containing
PIP4K2A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-5-phosphate	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
PIP4K2B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-5-phosphate	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
PIP4K2C	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-5-phosphate	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
PIP5K1A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
PIP5K1B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 5-kinase type 1 beta
PIP5K1C	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
PIP5KL1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatidylinositol-4-phosphate	phosphatidylinositol-4-phosphate 5-kinase like 1
PIPOX	hsa00260 / hsa00310	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Lysine degradation - Homo sapiens (human)	pipecolic	pipecolic acid and sarcosine oxidase
PISD	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phosphatidylserine	phosphatidylserine decarboxylase
PKLR	hsa00010 / hsa00620	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human)	pyruvate	pyruvate kinase L/R
PKM	hsa00010 / hsa00620	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human)	pyruvate	pyruvate kinase M1/2
PLA1A	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phospholipase	phospholipase A1 member A
PLA2G10	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group X
PLA2G12A	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group XIIA
PLA2G12B	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group XIIB
PLA2G15	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group XV
PLA2G1B	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IB
PLA2G2A	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IIA
PLA2G2C	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IIC
PLA2G2D	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IID
PLA2G2E	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IIE
PLA2G2F	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IIF
PLA2G3	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group III
PLA2G4A	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVA
PLA2G4B	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVB
PLA2G4C	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVC
PLA2G4D	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVD
PLA2G4E	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVE
PLA2G4F	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group IVF
PLA2G5	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group V
PLA2G6	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group VI
PLA2G7	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	phospholipase	phospholipase A2 group VII
HRASLS2	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A and acyltransferase 2
PLA2G16	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase A and acyltransferase 3
PLB1	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	phospholipase	phospholipase B1
PLCB1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C beta 1
PLCB2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C beta 2
PLCB3	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C beta 3
PLCB4	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C beta 4
PLCD1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C delta 1
PLCD3	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C delta 3
PLCD4	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C delta 4
PLCE1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C epsilon 1
PLCG1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C gamma 1
PLCG2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C gamma 2
PLCH1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C eta 1
PLCH2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C eta 2
PLCZ1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phospholipase	phospholipase C zeta 1
PLD1	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	phospholipase	phospholipase D1
PLD2	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	phospholipase	phospholipase D2
PLD3	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	phospholipase	phospholipase D family member 3
PLD4	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	phospholipase	phospholipase D family member 4
PLOD1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	procollagen-lysine,2-oxoglutarate	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
PLOD2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	procollagen-lysine,2-oxoglutarate	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
PLOD3	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	procollagen-lysine,2-oxoglutarate	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
PPAP2A	hsa00561 / hsa00564 / hsa00565 / hsa00600	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Sphingolipid metabolism - Homo sapiens (human)	phospholipid	phospholipid phosphatase 1
PPAP2C	hsa00561 / hsa00564 / hsa00565 / hsa00600	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Sphingolipid metabolism - Homo sapiens (human)	phospholipid	phospholipid phosphatase 2
PPAP2B	hsa00561 / hsa00564 / hsa00565 / hsa00600	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Sphingolipid metabolism - Homo sapiens (human)	phospholipid	phospholipid phosphatase 3
PPAPDC1A	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	phospholipid	phospholipid phosphatase 4
PPAPDC1B	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	phospholipid	phospholipid phosphatase 5
PMM1	hsa00051 / hsa00520	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human) / Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	phosphomannomutase	phosphomannomutase 1
PMM2	hsa00051 / hsa00520	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human) / Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	phosphomannomutase	phosphomannomutase 2
PNLIP	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	pancreatic	pancreatic lipase
PNLIPRP1	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	pancreatic	pancreatic lipase related protein 1
PNLIPRP2	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	pancreatic	pancreatic lipase related protein 2 (gene/pseudogene)
PNLIPRP3	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	pancreatic	pancreatic lipase related protein 3
PNMT	hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	phenylethanolamine	phenylethanolamine N-methyltransferase
PNP	hsa00230 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	purine	purine nucleoside phosphorylase
PNPLA2	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	patatin	patatin like phospholipase domain containing 2
PNPLA3	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	patatin	patatin like phospholipase domain containing 3
PNPLA4	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	patatin	patatin like phospholipase domain containing 4
PNPLA6	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	patatin	patatin like phospholipase domain containing 6
PNPLA7	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	patatin	patatin like phospholipase domain containing 7
PNPO	hsa00750	Metabolism of cofactors and vitamins	Vitamin B6 metabolism - Homo sapiens (human)	pyridoxamine	pyridoxamine 5'-phosphate oxidase
PPA1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	inorganic	inorganic pyrophosphatase 1
PPA2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	inorganic	inorganic pyrophosphatase 2
PPAT	hsa00230 / hsa00250	Nucleotide metabolism / Amino acid metabolism	Purine metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	phosphoribosyl	phosphoribosyl pyrophosphate amidotransferase
PPCDC	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	phosphopantothenoylcysteine	phosphopantothenoylcysteine decarboxylase
PPCS	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	phosphopantothenoylcysteine	phosphopantothenoylcysteine synthetase
PPOX	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	protoporphyrinogen	protoporphyrinogen oxidase
PPT1	hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	palmitoyl-protein	palmitoyl-protein thioesterase 1
PPT2	hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	palmitoyl-protein	palmitoyl-protein thioesterase 2
PRDM16	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	PR/SET	PR/SET domain 16
PRDM2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	PR/SET	PR/SET domain 2
PRDM6	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	PR/SET	PR/SET domain 6
PRDM7	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	PR/SET	PR/SET domain 7
PRDM9	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	PR/SET	PR/SET domain 9
PRDX6	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	peroxiredoxin	peroxiredoxin 6
PRODH	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	proline	proline dehydrogenase 1
PRODH2	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	proline	proline dehydrogenase 2
PRPS1	hsa00030 / hsa00230	Carbohydrate metabolism / Nucleotide metabolism	Pentose phosphate pathway - Homo sapiens (human) / Purine metabolism - Homo sapiens (human)	phosphoribosyl	phosphoribosyl pyrophosphate synthetase 1
PRPS1L1	hsa00030 / hsa00230	Carbohydrate metabolism / Nucleotide metabolism	Pentose phosphate pathway - Homo sapiens (human) / Purine metabolism - Homo sapiens (human)	phosphoribosyl	phosphoribosyl pyrophosphate synthetase 1 like 1
PRPS2	hsa00030 / hsa00230	Carbohydrate metabolism / Nucleotide metabolism	Pentose phosphate pathway - Homo sapiens (human) / Purine metabolism - Homo sapiens (human)	phosphoribosyl	phosphoribosyl pyrophosphate synthetase 2
PRUNE	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	prune	prune exopolyphosphatase 1
FAM213B	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	peroxiredoxin	peroxiredoxin like 2B
PSAP	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	prosaposin	prosaposin
PSAPL1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	prosaposin	prosaposin like 1
PSAT1	hsa00260 / hsa00270 / hsa00750	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / Vitamin B6 metabolism - Homo sapiens (human)	phosphoserine	phosphoserine aminotransferase 1
PSPH	hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	phosphoserine	phosphoserine phosphatase
PSTK	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	phosphoseryl-tRNA	phosphoseryl-tRNA kinase
PTDSS1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phosphatidylserine	phosphatidylserine synthase 1
PTDSS2	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	phosphatidylserine	phosphatidylserine synthase 2
PTEN	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	phosphatase	phosphatase and tensin homolog
PTGDS	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin D2 synthase
PTGES	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin E synthase
PTGES2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin E synthase 2
PTGES3	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin E synthase 3
PTGIS	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin I2 synthase
PTGR1	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin reductase 1
PTGR2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin reductase 2
ZADH2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin	prostaglandin reductase 3
PTGS1	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin-endoperoxide	prostaglandin-endoperoxide synthase 1
PTGS2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	prostaglandin-endoperoxide	prostaglandin-endoperoxide synthase 2
PTS	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	6-pyruvoyltetrahydropterin	6-pyruvoyltetrahydropterin synthase
PYCR1	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	pyrroline-5-carboxylate	pyrroline-5-carboxylate reductase 1
PYCR2	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	pyrroline-5-carboxylate	pyrroline-5-carboxylate reductase 2
PYCRL	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	pyrroline-5-carboxylate	pyrroline-5-carboxylate reductase 3
PYGB	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	glycogen	glycogen phosphorylase B
PYGL	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	glycogen	glycogen phosphorylase L
PYGM	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	glycogen	glycogen phosphorylase, muscle associated
QDPR	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	quinoid	quinoid dihydropteridine reductase
QPRT	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	quinolinate	quinolinate phosphoribosyltransferase
RBKS	hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	ribokinase	ribokinase
RDH10	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 10
RDH11	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 11
RDH12	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 12
