ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL5119	SFTA1P	Homo sapiens	Cell proliferation, Apoptosis	Cytoplasm	Signaling pathways regulation	Promote disease	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, Luciferase reporter assays, RNA Pull-down	NSCLC cell lines	N/A	up-regulated	interaction	TAZ	Regulate	up-regulated	lncRNA-mRNA	regulation	SFTA1P|upregulate|TAZ expression|activate|Hippo-YAP/TAZ signaling pathway|promote|non-small cell lung cancer	34845189	2021	SFTA1P mediates a positive feedback regulation of the Hippo-YAP/TAZ signaling pathway by targeting TAZ in non-small cell lung cancer.
EL5125	SH3PXD2A-AS1	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Promote disease	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression, Rescue assays, RIP, ChIP,	Colorectal Cancer tissues and cells, A nude mice model	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SH3PXD2A-AS1丨repress丨P57 and KLF2 expression丨through丨interaction with丨EZH2	29734178	2018	Long Non-Coding RNA SH3PXD2A-AS1 Promotes Cell Progression Partly Through Epigenetic Silencing P57 and KLF2 in Colorectal Cancer
EL5156	SIRT1-AS	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Therapeutic target	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, Northern blot, knockdown	cell line (HCC-9903)	N/A	up-regulated	interaction	SIRT1	Regulate	N/A	lncRNA-RNA	binding	SIRT1-AS|bind|SIRT1|mask|the miR-29c binding site|stabilize|SIRT1	26324025	2015	SIRT1-AS overexpression promoted the proliferation of the human HCC cell lines by upregulating the SIRT1 protein level. The mechanism was that SIRT1-AS bound to SIRT1 mRNA at 3'UTR, masked the miR-29c binding site and stabilized SIRT1 mRNA.
EL5156	SIRT1-AS	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	vascular endothelialdeep venous thrombosis	Others	N/A	N/A	overexpression	HUVECs	N/A	down-regulated	interaction	SIRT1	Regulate	up-regulated	lncRNA-mRNA	regulation	Sirt1-AS| upregulate| Sirt1| attenuate| aging related deep venous thrombosis	33638947	2021	LncRNA Sirt1-AS upregulates Sirt1 to attenuate aging related deep venous thrombosis
EL5212	SMIM31	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, knockdown, RIP, ChIP	NSCLC tissues and adjacent non-tumor tissues, cell lines(A549)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	regulation	LINC01207丨bind with丨EZH2丨mediated丨trimethylation of histone 3 lysine 27丨at丨the promoter region of Bad, an important pro-apoptotic gene	26693067	2015	LINC01207 was significantly up-regulated in LAD tissues compared with paired non-tumor tissues, while there was no significant differences between LSCC tissues and adjacent non-tumor tissues. The expression level of LINC01207 was associated with TNM stage of LAD patients, and higher LINC01207 level indicated advanced TNM stage and shorter survival.
EL5230	SNHG1	Homo sapiens	Cell proliferation	N/A	Decoy for hijacking proteins	Promote disease	liver cancer	Cancer	N/A	N/A	qRT-PCR, western blot, Overexpression, knockdown, RIP,ChIP,	LC cell lines SMMC-7721 and SK-HEP-1	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	SNHG1丨bind to丨DNMT1丨inhibit丨p55 expression	31002127	2019	High expression of SNHG1 could promote proliferative and invasive abilities of LC cells through targeting inhibition of p53 expression by binding to DNMT1.
EL5230	SNHG1	Homo sapiens	Disease-relevant functions	N/A	Chromatin regulation	Promote disease	myocardial injury	Others	N/A	N/A	knockdown	animal and cellular models, myocardial tissues, HL-1 cells	N/A	up-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	binding	SNHG1 |bind| DNMT1| mediate|Bcl-2 methylation| promote|myocardial injury	35678255	2022	LncRNA SNHG1 inhibited Bcl-2 expression by recruiting DNMT1 to Bcl-2 promoter region to cause methylation.
EL5230	SNHG1	Homo sapiens	stem-cell-like sphere formation and the invasion	N/A	Chromatin regulation	Disease treatment	muscle-invasive bladder cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays, ChIP, RIP, RNA Pull-down	bladder cancer cell line T24T	N/A	up-regulated	interaction	DNMT3A	Regulate	down-regulated	lncRNA-Protein	binding	SNHG1 | bind | DNMT3A | downregulate | miR-129-2-5p |	36077697	2022	DNMT3A/miR-129-2-5p/Rac1 Is an Effector Pathway for SNHG1 to Drive Stem-Cell-like and Invasive Behaviors of Advanced Bladder Cancer Cells.
EL5230	SNHG1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	cholangiocarcinoma	Cancer	N/A	N/A	knockdown, RNA-Seq	CCA cell	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SNHG1丨bound to丨the histone methyltransferase enhancer of the zeste homolog 2丨alterate丨pattern丨on the target genes	29970899	2018	SNHG1 in CCA oncogenesis, in addition to its likely function as a target for CCA interruption
EL5230	SNHG1	Homo sapiens	Cell Differentiation	N/A	Gene regulation	Therapeutic target	N/A	N/A	N/A	N/A	qRT-PCR, Western blot, ChIP, RIP, gain- and loss-of functions assays	periodontal ligament stem cells	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-DNA	regulation	SNHG1 | regulate | EZH2 | regulate | histone methylation | in | KLF2 promoter |inhibit| osteogenic differentiation	33028420	2020	SNHG1 inhibited the osteogenic differentiation of PDLSCs through EZH2-mediated H3K27me3 methylation of KLF2 promotor and provided a novel class of therapeutic targets for regenerate dental tissues.
EL5230	SNHG1	Homo sapiens	Cell proliferation	Cytoplasm	Signaling pathways regulation	Disease treatment	prostate cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	PCa cell lines	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	regulation	SNHG1 |via EZH2|Regulates| Wnt/β-Catenin and PI3K/AKT/mTOR Signaling Pathways| Affect the Proliferation, Apoptosis, and Autophagy of Prostate Cancer Cell	33194612	2020	Long Non-Coding RNA SNHG1 Regulates the Wnt/β-Catenin and PI3K/AKT/mTOR Signaling Pathways via EZH2 to Affect the Proliferation, Apoptosis, and Autophagy of Prostate Cancer Cell.
EL5234	SNHG12	Homo sapiens	Cell proliferation	Nucleus	Transcription regulation	Disease treatment	renal cell carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, ChIP, Western blot, overexpression, Luciferase reporter assays	RCC patients, nude mouse xenograft model, RCC tissues and cells	N/A	up-regulated	interaction	KMT2B	Regulated	up-regulated	lncRNA-Protein	regulation	KMT2B|upregulate|SNHG12|promate|RCC growth and angiogenesis in vivo	35597996	2022	KMT2B promotes the growth of renal cell carcinoma via upregulation of SNHG12 expression and promotion of CEP55 transcription.
EL5238	SNHG14	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Promote disease	pancreatic ductal adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, western blot	58 pairs of pancreatic cancer tissues and adjacent normal tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Downregulation of long noncoding RNA SNHG14丨suppresses丨cell proliferation and invasion丨by丨regulating丨EZH2 in pancreatic ductal adenocarcinoma (PDAC)	31929143	2020	Upregulation of SNHG14 expression promoted cell invasion by affecting E-cadherin expression via interacting with EZH2.
EL5239	SNHG15	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Metastasis 	gastric cancer	Cancer	N/A	N/A	qRT-PCR,cell transfection,flow cytometry,MTT assay,TUNEL,RIP,ChIP,western blot	pancreatic cancer (PC)tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SNHG15丨repressed丨the P15 and Kruppel-like factor 2 (KLF2) expression丨via丨binding to丨enhancer of zeste homolog 2 (EZH2)	29137412	2017	SNHG15 expression was also upregulated in PC tissues, and its overexpression was remarkably associated with tumor size, tumor node metastasis (TNM) stage and lymph node metastasis in patients with PC.
EL5241	SNHG16	Homo sapiens	Cell proliferation	N/A	Transcription regulation	Disease treatment	lung cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	lung cancer tissues and cell lines, normal and malignant lung tissues were obtained from a total of 30 patients	N/A	up-regulated	interaction	ALDH2	Regulate	down-regulated	lncRNA-Protein	regulation	SNHG16|downregulate|ALDH2|promote|Lung Cancer	35646120	2022	Long Noncoding RNA SNHG16 Regulates the Growth of Human Lung Cancer Cells by Modulating the Expression of Aldehyde Dehydrogenase 2 (ALDH2).
EL5244	SNHG17	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	colorectal cancer	Cancer	N/A	N/A	knockdown	colorectal cancer	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	lncRNA SNHG17丨suppress丨P57丨by丨binding to丨enhancer of zeste homolog 2丨correlated with丨those of P57 in CRC tissues	28933484	2017	SNHG17 was upregulated in CRC tissues, and that its overexpression was significantly correlated with tumor size, TNM stage, and lymph node metastasis in CRC patients.
EL5244	SNHG17	Homo sapiens	gefitinib resistance	N/A	Recruiting protein complexes	Therapeutic target	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, ChIP, RIP, FISH, gain- and loss-of functions assays	gefitinib-resistant LUAD tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	SNHG17 |bind|EZH2|downregulate|LATS2 expression|promote|LUAD gefitinib resistance	35902569	2022	m6A methyltransferase METTL3-induced lncRNA SNHG17 promotes lung adenocarcinoma gefitinib resistance by epigenetically repressing LATS2 expression.
EL5248	SNHG20	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, western-blotting, knockdown	96 paired HCC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SNHG20丨bind to丨enhancer of zeste homolog 2 (EZH2)丨regulated丨E-cadherin expression	28282787	2017	SNHG20/EZH2/E-cadhein regulator pathway might contribute to the development of novel therapeutic strategies for HCC patients.
EL5250	SNHG22	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	gastric cancer	Cancer	N/A	N/A	RNA Pull-down, knockdown	gastric cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	binding	ELK4|upregulate|SNHG22|bind|EZH2, miR-200c-3p|Notch1 axis| promote| gastric cancer progression	34663788	2021	ELK4-mediated LncRNA SNHG22 promotes gastric cancer progression through interacting with EZH2 and regulating miR-200c-3p/Notch1 axis.
EL5254	SNHG26	Homo sapiens	EMT	N/A	Decoy for hijacking proteins	Promote disease	tongue squamous cell carcinoma	Cancer	cisplatin	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	CAL27, CDDP, CAL27	N/A	up-regulated	interaction	PGK1	Regulate	down-regulated	lncRNA-Protein	binding	SNHG26| bind|PGK1|activate|Akt / mTOR| promote|tongue squamous cell carcinoma	35118193	2021	in TSCC cells, SNHG26 was found to bind directly to the PGK1 protein, inhibiting its ubiquitination and activating the Akt/mTOR signaling pathway.
EL5263	SNHG6	Homo sapiens	EMT	N/A	Gene regulation	Promote disease	gastric cancer	Cancer	N/A	N/A	qRT-PCR, western blotting,immunofuorescence, ChIP, RIP, RNA-pulldown, luciferase reporter assays	gastric cancer tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SNHG6丨acted as丨an oncogene丨in gastric cancer cells丨through丨regulating丨miR-101-3p/ZEB1丨by 丨recruiting丨enhancer of zeste homolog 2 (EZH2)丨to丨the promoter of p27	28683446	2017	Silenced SNHG6 obviously inhibited gastric cancer cell growth, weakened cell migration capacity and suppressed the EMT processes of gastric cancer cells
EL5263	SNHG6	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	gastric cancer	Cancer	N/A	N/A	qRT-PCR, FISH, Knockdown,	gastric cancer cells.	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Knockdown of SNHG6丨stimulated丨p21 expression丨	30031062	2018	Long noncoding RNA SNHG6 regulates p21 expression via activation of the JNK pathway and regulation of EZH2 in gastric cancer cells.
EL5263	SNHG6	Homo sapiens	Disease-relevant functions	Nucleolus	Decoy for hijacking proteins	Promote disease	chondrosarcoma	Cancer	N/A	N/A	qRT-PCR	Chondrosarcoma cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	SNHG6|bind|EZH2|downregulate|KLF6|promote|chondrosarcoma	33431838	2021	SP1-induced SNHG6 forms a positive loop to facilitate the carcinogenesis of chondrosarcoma through the suppression of KLF6 by recruiting EZH2, which manifests the oncogenic function of SNHG6 in chondrosarcoma.
EL5263	SNHG6	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Promote disease	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	non-small cell lung cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	binding	SNHG6|bind|EZH2|downregulate|p27|promote|non-small cell lung cancer	36494339	2022	Gene amplification-driven lncRNA SNHG6 promotes tumorigenesis via epigenetically suppressing p27 expression and regulating cell cycle in non-small cell lung cancer.
EL5263	SNHG6	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Disease diagnosis	colorectal cancer	Cancer	N/A	N/A	ChIRP-MS, qRT-PCR	CRC cells	N/A	up-regulated	interaction	PKM	Regulate	N/A	lncRNA-RNA	binding	SNHG6丨bind to丨hnRNPA1丨and丨PKM	32296635	2020	SNHG6 was found to be able to target the mRNA of PKM as well as induce hnRNPA1 to specifically splice PKM mRNA, which increased the proportion of PKM2/PKM1.
EL5266	SNHG7	Homo sapiens	Cell proliferation	N/A	DNA damage response	Promote disease	osteosarcoma	Cancer	N/A	N/A	qRT-PCR, western blot, knockdown, Rescue experiments, RIP, CHIP	osteosarcoma cells, tumor tissues	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	SNHG7丨inhibited丨the expression of p53丨by丨binding to丨DNMT3	31114984	2019	Highly expressed SNHG7 can promote the proliferation and inhibit apoptosis of osteosarcoma cells by regulating p53 expression by binding to DNMT1.
EL5270	SNHG8	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Promote disease	cervical cancer	Cancer	N/A	N/A	Knockdown, qRT-PCR, FISH, ChIP	cervical cancer cells, HPV-negative CC cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SNHG8丨disclosed to丨interact with丨enhancer of zeste homolog 2 (EZH2) based on RNA immunoprecipitation assay	31961005	2020	Altogether, it reflected that SNHG8 recruited EZH2 to downregulate RECK expression, leading to HPV-induced CC aggravation.
EL5270	SNHG8	Homo sapiens	Cell Differentiation	Nucleus	Recruiting protein complexes	Disease treatment	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays, ChIP, FISH	periodontal ligament stem cells	N/A	down-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	regulation	SNHG8 | regulate |EZH2 expression | promote | osteogenic differentiation	35192931	2022	downregulation of SNHG8 led to lower expression of enhancer of zeste homolog 2 (EZH2), which negatively regulated the osteogenic differentiation of PDLSCs.
EL5284	SOX21-AS1	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Therapeutic target	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, RIP, ChIp, rescue assays, knockdown	tumor tissues and cell	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-TF	binding	SOX21-AS1丨bind with丨EZH2丨silenced丨p21丨via丨recruiting丨EZH2丨to丨the promoter of p21	29772433	2018	SOX21-AS1 can interact with p21 to affect hepatocellular carcinoma progression. SOX21-AS1 could be a potential prognostic biomarker or a therapeutic target for hepatocellular carcinoma.
EL5289	SOX2-OT	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Promote disease	laryngeal squamous cell carcinoma	Cancer	N/A	N/A	overexpression, knockdown,	LSCC tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SOX2-OT丨interacted with丨EZH2丨recruited丨EZH2丨to丨induce丨H3K27me3丨inhibited丨PTEN expression in LSCC cells	30811870	2019	Long noncoding RNA SOX2-OT facilitates laryngeal squamous cell carcinoma development by epigenetically inhibiting PTEN via methyltransferase EZH2.
EL5289	SOX2-OT	Homo sapiens	oxidative stress and apoptosis of renal tubular epithelial cells	N/A	Regulating complex interactions	Inhibit disease	diabetic nephropathy	Others	high glucose	N/A	qRT-PCR, Western blot, Luciferase reporter assays, RNA pull-down	the human kidney-2 (HK-2) cells were treated with HG	N/A	down-regulated	interaction	SIRT1	Regulate	up-regulated	lncRNA-Protein	regulation	SOX2OT|upregulate|SIRT1|inhibit|diabetic nephropathy	36576135	2023	Foxa2-mediated SOX2OT up-regulation reduced oxidative stress and apoptosis of RTECs by promoting SIRT1 expression, thus alleviating the progression of DN.
EL5304	SPRY4-IT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Promote disease	cholangiocarcinoma	Cancer	N/A	N/A	Luciferase reporter,ChIP,qRT-PCR, Knockdown,	CCA tissues and cells	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	EZH2 along with LSD1 or DNMT1丨recruited by丨SPRY4-IT3丨functioned as丨a scaffold	29642935	2018	SP1-induced upregulation of lncRNA SPRY4-IT1 exerts oncogenic properties by scaffolding EZH2/LSD1/DNMT1 and sponging miR-101-3p in cholangiocarcinoma.
EL5304	SPRY4-IT1	Homo sapiens	EMT	N/A	Gene regulation	Disease diagnosis	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, RIP, ChIP, knockdown	hepatocellular carcinoma cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	SPRY4-IT1 over-expression丨promoted丨the epithelial-mesenchymal transition (EMT)丨by丨up-regulating丨the transcription factor Twist1 and EMT marker Vimentin丨inhibited丨the E-cadherin expression in MHCC97L cell	27899259	2017	Knockdown of SPRY4-IT1 suppressed the transcription factor Twist1 and EMT marker Vimentin and increased the E-cadherin expression in MHCC97H cells. Mechanisms investigations showed that SPRY4-IT1 interacted with the EZH2 and epigenetically repressed the E-cadherin expression. In vivo, we also demonstrated that the tumor growth was inhibited in SPRY4-IT1 knockdown group compared with the control group.
EL5304	SPRY4-IT1	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Metastasis 	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, RNA pull-down, RIP,western blot	Both LA and adjacent normal tissues were obtained from 256 LA patients	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	The interaction between SPRY4-IT1 and EZH2丨determined丨using a RNA pull-down assay and a RNA immunoprecipitation (RIP) assay	28796375	2018	We aim to investigate the interaction between the EZH2 and the long noncoding RNA (lncRNA) SPRY4-IT1. We also explore their respective effects on human lung adenocarcinoma (LA) cell invasion and migration.
EL5304	SPRY4-IT1	Homo sapiens	Apoptosis	N/A	Gene regulation	Disease treatment	N/A	N/A	Ketamine	N/A	qRT-PCR, knockdown, overexpression	Human embryo stem cells	N/A	down-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	regulation	SPRY4-IT1|downregulate|EZH2|Inhibit| Modulates Ketamine-Induced Neurotoxicity in Human Embryonic Stem cell-Derived Neurons	33827085	2021	Long Noncoding RNA SPRY4-IT1 Modulates Ketamine-Induced Neurotoxicity in Human Embryonic Stem cell-Derived Neurons through EZH2
EL5304	SPRY4-IT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Metastasis 	melanoma	Cancer	N/A	N/A	SHAPE-seq and dChIRP, knockout	melanoma cells, mouse xenografts	N/A	N/A	interaction	SMYD3	Regulate	N/A	lncRNA-Protein	regulation	SPRY4-IT1|interact|the intronic regions of six pre-mRNAs: SOX5, SMYD3, SND1, MEOX2, DCTN6, and RASAL2	28508063	2017	Hemizygous knockout of SPRIGHTLY by CRISPR (clustered regularly interspaced short palindromic repeats)/Cas9 in melanoma cells significantly decreases SPRIGHTLY lncRNA levels, simultaneously decreases the levels of its interacting pre-mRNA molecules, and decreases anchorage-independent growth rate of cells and the rate of in vivo tumor growth in mouse xenografts.
EL5348	SUMO1P3	Homo sapiens	Cell proliferation	N/A	Transcription regulation	Promote disease	colorectal cancer	Cancer	N/A	N/A	loss-of-function assays, ChIP, rescue assays, knockdown,	CRC cell	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	EZH2丨bound to丨CPEB3 promoter	30799082	2019	LncRNA SUMO1P3 promotes proliferation and inhibits apoptosis in colorectal cancer by epigenetically silencing CPEB3.
EL5426	TCONS_00006195	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Inhibit disease	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR,cell transfection,CCK-8 assay,colony formation assay,flow cytometry,IHC,RNA pull down,RIP assay,western blot	HBV-related HCC tissues compared with adjacent noncancerous hepatic tissues	N/A	down-regulated	interaction	ENO1	Regulate	N/A	lncRNA-Protein	binding	LncRNA-6195丨combine with丨α-enolase (ENO1)丨repress丨its enzymatic activity丨inhibiting丨the energy metabolism in HCC cells	30518748	2018	A novel lncRNA, TCONS_00006195, represses hepatocellular carcinoma progression by inhibiting enzymatic activity of ENO1.
EL5613	TERC	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Disease treatment	osteoporosis	Others	N/A	N/A	qRT-PCR, Western blot, RIP	bone marrow mesenchymal stem cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	binding	TERC|bind|EZH2|upregulate|DKK1|inhibit|DEX-induced osteoporosis	36789537	2023	TERC improve glucocorticoid-induced osteoporosis by EZH2 to regulate DKK1
EL5642	THUMPD3-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	stroke	Others	N/A	N/A	qRT-PCR, dual-luciferase reporter gene assay, RNA pull-down, RIP, western blot, overexpression, knockdown,	bratissues of ischemic stroke mice and control mice, Middle cerebral artery occlusion (MCAO) model and OGD/R (oxygen-glucose deprivation/reoxygenation) model	N/A	up-regulated	interaction	PTEN	Regulate	N/A	lncRNA-Protein	binding	SETD5-AS1丨bind with丨PTEN	30280788	2018	SETD5-AS1 stimulates neuron death in stroke via promoting PTEN expression.
EL5650	TINCR	Homo sapiens	Disease-relevant functions	Chromatin	Recruiting protein complexes	Therapeutic target	breast cancer	Cancer	N/A	N/A	immunoprecipitation assay, knockdown	Human breast cancer tissues	N/A	up-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	binding	TINCR|bind| DNMT1| in| miR-503-5p locus promoter|increase| the methylation| suppress| the transcriptional expression of miR-503-5p.	33446634	2021	TINCR recruits DNMT1 to the miR-503-5p locus promoter, which increases the methylation and suppresses the transcriptional expression of miR-503-5p.
EL5650	TINCR	Homo sapiens	Cell proliferation	Cytosol	Recruiting protein complexes	Promote disease	breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	UACC812, MDA-MB-231, Hs578T, T47D, BT549, MCF-7, 4T1, HEK293T	N/A	up-regulated	interaction	DNMT1	Regulate	down-regulated	lncRNA-Protein	binding	TINCR|bind|DNMT1|downregulate|MiR-20a-1p |promote|breast cancer	36725842	2023	TINCR potentially acts as a molecular sponge of miR-199a-5p and upregulates the stability of USP20 mRNA through a competing endogenous RNA (ceRNA) regulatory mechanism, thus promoting PD-L1 expression by decreasing its ubiquitination level
EL5650	TINCR	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Inhibit disease	cardiac hypertrophy	Others	N/A	N/A	qRT-PCR,IHC,ChIP,RIP,western blot	N/A	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	TINCR丨bind with丨EZH2丨attenuate丨myocardial hypertrophy丨by丨silencing of CaMKII	28548932	2017	Enforced expression of TINCR could attenuate cardiac hypertrophy in TAC mice.
EL5676	Tmem235	Homo sapiens	H3K27me3, apoptosis of BMSCs	Nucleus	Signaling pathways regulation	N/A	N/A	N/A	Hypoxic	N/A	qRT-PCR, knockdown, Western blot, overexpression	hypoxia model of BMSCs, Twenty male Sprague Dawley rats, male or female	N/A	down-regulated	interaction	EZH2	Regulated	up-regulated	lncRNA-Protein	regulation	HIF-1α|bind|EZH2|downregulate| Tmem235|inhibit|hypoxic apoptosis of BMSCs	35779185	2022	Hypoxia promotesthe modification of the LncRNA Tmem235 promoter H3K27me3 through the HIF-1α/EZH2 signaling axis, inhibits the expression of LncRNA Tmem235, and leads to hypoxic apoptosis of BMSCs.
EL5693	TNK2-AS1	Homo sapiens	Disease-relevant functions	Cytoplasm	Gene regulation	Disease treatment	acute myeloid leukemia	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	myeloid leukemia cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	regulation	long non-coding TNK2-AS1|via|EZH2-mediated epigenetic silencing of CELF2| promotes| the progression of acute myeloid leukemia	35941836	2023	long non-coding TNK2-AS1 promotes the progression of acute myeloid leukemia by EZH2-mediated epigenetic silencing of CELF2
EL5703	TP53COR1	Homo sapiens	Cell Differentiation	N/A	Signaling pathways regulation	Disease diagnosis	castration-resistant prostate cancer	Cancer	androgen receptor (AR);antiandrogen enzalutamide (Enz)	N/A	qRT-PCR,cell transfection,ChIP,IF,RIP,luciferase assay,WST-1 assay,flow cytometry,western blot	NEPC patients derived xenograft tissues (NEPC-PDX), PDX mouse model	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Enz丨promote丨the lncRNA-p21 transcription丨via丨altering丨the androgen receptor (AR)丨binding to丨different androgen-response-elements丨switch丨the EZH2 function丨from histone-methyltransferase to non-histone methyltransferase丨methylating丨the STAT3丨to丨promote the NED	31189930	2019	LncRNA-p21 alters the antiandrogen enzalutamide-induced prostate cancer neuroendocrine differentiation via modulating the EZH2/STAT3 signaling.
EL5704	TP53TG1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Promote disease	glioma	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression	human glioma tissues or cell lines, normal bratissue or NHA, U87 and LN18 cells	N/A	up-regulated	interaction	IDH1	Regulate	N/A	lncRNA-Protein	regulation	Knockdown of TP53TG1丨decreased丨cell proliferation丨 migration 丨 down-regulated丨GRP78丨IDH1 expression levels丨up-regulated丨PKM2 levels丨in U87 cells under glucose deprivation	28569381	2017	TP53TG1 under glucose deprivation may promote cell proliferation and migration by influencing the expression of glucose metabolism related genes in glioma.
